Время;Дыхание;ЧД;ЧСС по цвету (веб);Дерм. реакция (веб);Исх. уср. ЧСС (веб);Исходное ЧСС (веб);Движения;ИБ;ЧСС/ЧД;степень подвижности головы;относительная частота моргания;степень активности взгляда;горизонтальная составляющая направления взгляда;вертикальная составляющая направления взгляда;детектор речи 1 (L=15 e=0.35);детектор речи 2 (L=15 e=0.40);детектор речи 3 (L=20 e=0.35);детектор речи 4 (L=20 e=0.40);Отклонение глаз от собеседника;Смотрит ли на собеседника 1 (T=0.15);Смотрит ли на собеседника 2 (T=0.25);Смотрит ли на собеседника 3 (T=0.35);асинхронное поднятие/опускание бровей (сумматор);синхронное поднятие/опускание бровей (сумматор);признак улыбки (сумматор);поднятие рта (сумматор);открытие рта (сумматор);расстояние между краями рта (сумматор);асинхронное поднятие/опускание бровей (среднее);синхронное поднятие/опускание бровей (среднее);признак улыбки (среднее);поднятие рта (среднее);открытие рта (среднее);расстояние между краями рта (среднее);Тема
00:00:00.000;3,39784946236559;0;0;0;0;0;0,000868055562023073;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
00:00:00.100;3,39784946236558;0;0;0;0;0;0,000868055562023073;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
00:00:00.200;3,39784946236558;0;0;0;0;0;0,000139508929610851;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
00:00:00.300;3,39784946236558;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
00:00:00.400;3,39784946236559;0;0;0;0;0;0,0162701768515347;0;0;0;0;0;0;0;0;0;0;0;0,167719433614022;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
00:00:00.500;3,39784946236559;0;0;0;0;0;0,0179624627997107;0;0;0,0225236537637692;0,0201292618672468;0;-1;0;1;1;1;1;0,28304850134749;0;0;1;0,303738317757009;0,303738317757009;0,303738317757009;0,303738317757009;0,303738317757009;0,455607476635514;0,151869158878505;0,151869158878505;0,151869158878505;0,455607476635514;0,455607476635514;0;1
00:00:00.600;3,40888762013512;0;0;0;0;0;0,00853363902563545;0;0;0,0548658531791245;0,0462814636100835;0;-1;0;1;1;1;1;0,312034000498196;0;0;1;0,5;0,5;0,5;0,5;0,724691801862369;0,792772861356932;0,207227138643068;0,207227138643068;0,207227138643068;0,792772861356932;0,717875594069476;0;1
00:00:00.700;3,42839915586374;0;0;0;0;0;0,00182332236006438;0;0;0,0734648054723856;0,0673208860277877;0;-1;0;1;1;1;1;0,314868953709133;0;0;1;0,645825246642185;0,5;0,615944465921712;0,541637764731261;1,1742170099658;0,850856697819315;0,185599613841232;0,149143302180686;0,178129418661114;0,840447256636499;0,615138085551597;0;1
00:00:00.800;3,44822241596436;0;0;0;0;0;0,000185732616464029;0;0;0,0929470304965264;0,0988153194811022;0;-1;0;1;1;1;1;0,290015464321648;0;0;1;1,30778616761088;0,713808900114791;1,02365209675966;1,21596695760905;1,80121418755308;0,889264264264264;0,244585817655332;0,128553144078635;0,285907358472119;0,804642120489495;0,539995997614044;0;1
00:00:00.900;3,45698924731185;0;0;0;0;0;0,000434027797382441;0;0;0,133531974582869;0,144275393262666;0;0;0;1;1;1;1;0,247811756364689;0;1;1;2,37975896505363;1,2022055095506;1,5;2,57420804521883;2,54977383321563;0,91812062805566;0,305900518789102;0,141638025004129;0,481807349477225;0,698888540776058;0,565977481329512;0;1
00:00:01.000;3,44086021505378;0;0;-0,433053258896536;0;0;0,00369227850955484;0;0;0,165234359851909;0,176462798604657;0;0;0;1;1;1;1;0,253484303337646;0;0;1;3,08877027029685;1,46404116738436;1,5079073227104;3,17295818511273;3,05950784719996;0,907983426264397;0,31462607149783;0,17141709454146;0,556681623902314;0,644745768388593;0,483239109477142;0;1
00:00:01.100;3,44086021505378;0;0;-2,40791389753209;0;0;0,0183262525763559;0;0;0,207758022982849;0,220850616289228;0;0;0;1;1;1;1;0,2490813401642;0;0;1;3,83755549102218;1,6112922528983;1,56415403862239;3,61121386390192;3,05950784719996;0,836822144554308;0,377427145790927;0,226370739741538;0,638187624141845;0,63924338353525;0,387174199053743;0;1
00:00:01.200;3,44086021505378;0;0;-2,15074957787437;0;0;0,00195502872137647;0;0;0,234623184064711;0,234276928020161;0;0;0;1;1;1;1;0,232840035277925;0;1;1;4,28121987208743;1,72447908106923;1,72768175959263;4,18820663852788;3,05950784719996;0,803425307639273;0,345211081630719;0,259688561333364;0,649788693454444;0,582572870810493;0,352850245236921;0;1
00:00:01.300;3,42097788598094;0;0;-1,81812696270428;0;0;0,00162760424427688;0;0;0,256808344071311;0,248219884112929;0;0;0;1;1;1;1;0,243918763090373;0;1;1;4,63685649147529;1,79340444665165;1,94447426470241;4,34700339941585;3,12189714360947;0,756647025627082;0,348309732024572;0,283025818775609;0,679435783404686;0,545957612217602;0,328236850496495;0;1
00:00:01.400;3,40103544404621;0;0;-1,89075477423494;0;0;0,000795717620618503;0;0;0,278415493341225;0,272513707792175;0;0;-1;1;1;1;1;0,266249371140465;0;0;1;5,41134655186742;2,17932610822354;2,23558442217985;4,79167685887101;3,1836450821745;0,689775864520218;0,377626265048429;0,313394126338235;0,689967595155524;0,493749715913482;0,28394691628158;0;1
00:00:01.500;3,38157512351062;0;0;-1,92843337440864;0;0;0,00352500923248511;0;0;0,26963151961256;0,260842569279782;0;0;-1;1;1;1;1;0,261749530343798;0;0;1;5,20087553116845;1,92047344291169;2,23834012750946;4,60210045315308;2,82342376103196;0,661393922725258;0,370324659908997;0,322524717911474;0,676128746655053;0,464803023391504;0,248173469046675;0;1
